Filename: Z:\2020-12-20\2020-12-20_055 76Sr with beam merging _ RT100_T846 - clipped_MS100.tof
Analyze-time: Fri Feb 19 17:57:14 2021

Range: 61
Start Peak: 6179
Block size: 1
Block-Min: 0
Int-Max: 0
Peak mass: Rb85:-1e
Treshold: 0
Method: Median
a: 0.08554320834809824
t0: -0.174931057477
b: 0.575849041251
T: 800

Area1: 1 - 896

B Positions (center Block):
MS	B	Intensity	Peakposition (us)	Peakposition alt (u)	Peakposition corrected (u)
290	0.5758502877436042	11	14545.757	84.91160797062934	84.911241165832
291	0.5758505099252672	11	14545.7626	84.91167335200686	84.91124116583202
292	0.575850525795386	11	14545.763	84.9116780221062	84.91124116583202
293	0.575850382964317	11	14545.7594	84.91163599121662	84.911241165832
294	0.5758505337304454	15	14545.7632	84.91168035715592	84.91124116583202
295	0.5758506792065342	14	14545.766866666666	84.9117231664066	84.911241165832
296	0.5758509225483554	13	14545.773	84.91179477463186	84.91124116583198
297	0.5758512399507308	18	14545.781	84.91188817671018	84.91124116583202
298	0.5758511129897806	14	14545.7778	84.9118508158727	84.91124116583202
299	0.5758512187905724	16	14545.780466666666	84.91188194990336	84.91124116583202
300	0.5758508590678802	17	14545.7714	84.91177609422236	84.91124116583202
301	0.575851160600137	9	14545.778999999998	84.91186482618576	84.911241165832
302	0.5758510495093056	11	14545.7762	84.91183213545706	84.91124116583202
303	0.5758510653794242	15	14545.7766	84.91183680556074	84.91124116583202
304	0.5758509225483554	12	14545.773	84.91179477463186	84.91124116583198
305	0.5758506686264548	11	14545.7666	84.91172005300618	84.911241165832
306	0.5758506686264548	15	14545.7666	84.91172005300618	84.911241165832
307	0.575850382964317	14	14545.7594	84.91163599121662	84.911241165832
308	0.5758502718734856	11	14545.756599999998	84.9116033005319	84.911241165832
309	0.5758500814320602	19	14545.7518	84.91154725937278	84.91124116583202
310	0.5758500814320602	13	14545.7518	84.91154725937278	84.91124116583202
311	0.5758502242631292	10	14545.7554	84.9115892902404	84.91124116583202
312	0.5758502242631292	14	14545.7554	84.9115892902404	84.91124116583202
313	0.5758503512240794	17	14545.7586	84.91162665102036	84.91124116583202
314	0.5758501925228916	8	14545.7546	84.9115799500467	84.91124116583202
315	0.5758502560033668	14	14545.7562	84.91159863043462	84.91124116583202
316	0.5758501290424164	14	14545.752999999998	84.91156126966082	84.91124116583204
317	0.5758506686264548	14	14545.7666	84.91172005300618	84.911241165832
